"","intercept","exposure","log_scale","param","model"
"236",0.0538979735696906,0.0260931997217949,0.0379185695774722,"se","weighted"
"237",NA,0.688152999853806,NA,"coef","coxfull"
"238",NA,0.0433462298979263,NA,"se","coxfull"
"239",NA,0.672192130897307,NA,"coef","coxweighted"
"240",NA,0.0560819598652623,NA,"se","coxweighted"
"241",4.98425108853042,-0.357666835312849,-0.693193464460525,"coef","full"
"242",0.052531032962571,0.0253455436968072,0.0396264095996213,"se","full"
"243",4.95447284268297,-0.334682537506517,-0.708914656235636,"coef","weighted"
"244",0.0493950974923113,0.0223560888836161,0.0381098331104231,"se","weighted"
"245",NA,0.714790536861426,NA,"coef","coxfull"
"246",NA,0.0430350800822205,NA,"se","coxfull"
"247",NA,0.679828386857328,NA,"coef","coxweighted"
"248",NA,0.0539498174208136,NA,"se","coxweighted"
"249",5.14443923661752,-0.39489061166674,-0.548421918319153,"coef","full"
"250",0.0599639557431316,0.0292347076158464,0.039613786807392,"se","full"
"251",5.1394523646028,-0.393703981490287,-0.550271937300147,"coef","weighted"
"252",0.0572839002477922,0.0273748176597346,0.0386546220455926,"se","weighted"
"253",NA,0.68291955296668,NA,"coef","coxfull"
"254",NA,0.0436171303870687,NA,"se","coxfull"
"255",NA,0.682625103477197,NA,"coef","coxweighted"
"256",NA,0.0580716814029808,NA,"se","coxweighted"
"257",5.11522613156814,-0.417067253835502,-0.584738749290201,"coef","full"
"258",0.0584763592923611,0.02818448290083,0.03945398775345,"se","full"
"259",5.10288022722052,-0.412665866856677,-0.592864355177903,"coef","weighted"
"260",0.0538379114237535,0.0232554552015664,0.0376069112737397,"se","weighted"
"261",NA,0.747611971469709,NA,"coef","coxfull"
"262",NA,0.0423019883742132,NA,"se","coxfull"
"263",NA,0.744104406578336,NA,"coef","coxweighted"
"264",NA,0.0540854804912988,NA,"se","coxweighted"
"265",5.16091224491348,-0.405879523499899,-0.572366763344192,"coef","full"
"266",0.0623934022201922,0.0298272149799042,0.0411456977422897,"se","full"
"267",5.15301918939077,-0.421808693295367,-0.577407462796485,"coef","weighted"
"268",0.0624478376642864,0.028631462859078,0.042299718059404,"se","weighted"
"269",NA,0.720516891994524,NA,"coef","coxfull"
"270",NA,0.0450248416444597,NA,"se","coxfull"
"271",NA,0.753797996249355,NA,"coef","coxweighted"
"272",NA,0.0587197372963827,NA,"se","coxweighted"
"273",5.18845789408779,-0.407726406086739,-0.543873139508573,"coef","full"
"274",0.0635489563030022,0.0306079887398779,0.0409737242149282,"se","full"
"275",5.19784586216327,-0.401741129034493,-0.537844176387839,"coef","weighted"
"276",0.0683885722006929,0.031918778897121,0.0445844252482949,"se","weighted"
"277",NA,0.703823000089272,NA,"coef","coxfull"
"278",NA,0.0452215517380097,NA,"se","coxfull"
"279",NA,0.68892690552841,NA,"coef","coxweighted"
"280",NA,0.0595107921941219,NA,"se","coxweighted"
